suite,dimension,function_instance,algorithm,seed,budget,nfe_internal,fbest,archive_nodes,graph_edges,diagnostics_keys,detail_json,message
bbob,2,bbob_f001_i01_d02,BasinGraph_v2,20260619,2000,2000,79.48,80,557,anisotropy;boundary_signal;dimension;finite_anchor_fraction;max_scale;mean_scale;ruggedness_score;sign_change_rate;valid_axis_triplets,results_v2/coco_mini/BasinGraph_v2_bbob_f001_i01_d02.json,budget_exhausted
bbob,2,bbob_f001_i02_d02,BasinGraph_v2,20260620,2000,2000,394.48,80,675,anisotropy;boundary_signal;dimension;finite_anchor_fraction;max_scale;mean_scale;ruggedness_score;sign_change_rate;valid_axis_triplets,results_v2/coco_mini/BasinGraph_v2_bbob_f001_i02_d02.json,budget_exhausted
bbob,2,bbob_f001_i03_d02,BasinGraph_v2,20260621,2000,2000,-247.11,80,654,anisotropy;boundary_signal;dimension;finite_anchor_fraction;max_scale;mean_scale;ruggedness_score;sign_change_rate;valid_axis_triplets,results_v2/coco_mini/BasinGraph_v2_bbob_f001_i03_d02.json,budget_exhausted
bbob,2,bbob_f002_i01_d02,BasinGraph_v2,20260622,2000,2000,-209.87999999999974,80,138,anisotropy;boundary_signal;dimension;finite_anchor_fraction;max_scale;mean_scale;ruggedness_score;sign_change_rate;valid_axis_triplets,results_v2/coco_mini/BasinGraph_v2_bbob_f002_i01_d02.json,budget_exhausted
bbob,2,bbob_f002_i02_d02,BasinGraph_v2,20260623,2000,2000,-92.09,80,186,anisotropy;boundary_signal;dimension;finite_anchor_fraction;max_scale;mean_scale;ruggedness_score;sign_change_rate;valid_axis_triplets,results_v2/coco_mini/BasinGraph_v2_bbob_f002_i02_d02.json,budget_exhausted
bbob,2,bbob_f002_i03_d02,BasinGraph_v2,20260624,2000,2000,-87.88999999998028,80,176,anisotropy;boundary_signal;dimension;finite_anchor_fraction;max_scale;mean_scale;ruggedness_score;sign_change_rate;valid_axis_triplets,results_v2/coco_mini/BasinGraph_v2_bbob_f002_i03_d02.json,budget_exhausted
bbob,2,bbob_f003_i01_d02,BasinGraph_v2,20260625,2000,2000,-461.0950409429067,80,329,anisotropy;boundary_signal;dimension;finite_anchor_fraction;max_scale;mean_scale;ruggedness_score;sign_change_rate;valid_axis_triplets,results_v2/coco_mini/BasinGraph_v2_bbob_f003_i01_d02.json,budget_exhausted
bbob,2,bbob_f003_i02_d02,BasinGraph_v2,20260626,2000,2000,78.6549590570933,80,336,anisotropy;boundary_signal;dimension;finite_anchor_fraction;max_scale;mean_scale;ruggedness_score;sign_change_rate;valid_axis_triplets,results_v2/coco_mini/BasinGraph_v2_bbob_f003_i02_d02.json,budget_exhausted
bbob,2,bbob_f003_i03_d02,BasinGraph_v2,20260627,2000,2000,115.68000000000005,80,195,anisotropy;boundary_signal;dimension;finite_anchor_fraction;max_scale;mean_scale;ruggedness_score;sign_change_rate;valid_axis_triplets,results_v2/coco_mini/BasinGraph_v2_bbob_f003_i03_d02.json,budget_exhausted
bbob,2,bbob_f001_i01_d02,CMA_ES,20360619,2000,451,79.48,,,,,completed
bbob,2,bbob_f001_i02_d02,CMA_ES,20360620,2000,529,394.48,,,,,completed
bbob,2,bbob_f001_i03_d02,CMA_ES,20360621,2000,481,-247.11,,,,,completed
bbob,2,bbob_f002_i01_d02,CMA_ES,20360622,2000,691,-209.88,,,,,completed
bbob,2,bbob_f002_i02_d02,CMA_ES,20360623,2000,685,-92.09,,,,,completed
bbob,2,bbob_f002_i03_d02,CMA_ES,20360624,2000,685,-87.89,,,,,completed
bbob,2,bbob_f003_i01_d02,CMA_ES,20360625,2000,727,-461.0950409429067,,,,,completed
bbob,2,bbob_f003_i02_d02,CMA_ES,20360626,2000,529,77.66,,,,,completed
bbob,2,bbob_f003_i03_d02,CMA_ES,20360627,2000,565,116.6749590570933,,,,,completed
bbob,2,bbob_f001_i01_d02,BIPOP_CMA_ES,20460619,2000,2014,79.48,,,,,completed
bbob,2,bbob_f001_i02_d02,BIPOP_CMA_ES,20460620,2000,2003,394.48,,,,,completed
bbob,2,bbob_f001_i03_d02,BIPOP_CMA_ES,20460621,2000,2013,-247.11,,,,,completed
bbob,2,bbob_f002_i01_d02,BIPOP_CMA_ES,20460622,2000,2024,-209.88,,,,,completed
bbob,2,bbob_f002_i02_d02,BIPOP_CMA_ES,20460623,2000,2025,-92.09,,,,,completed
bbob,2,bbob_f002_i03_d02,BIPOP_CMA_ES,20460624,2000,2006,-87.89,,,,,completed
bbob,2,bbob_f003_i01_d02,BIPOP_CMA_ES,20460625,2000,2007,-462.09,,,,,completed
bbob,2,bbob_f003_i02_d02,BIPOP_CMA_ES,20460626,2000,2007,77.66,,,,,completed
bbob,2,bbob_f003_i03_d02,BIPOP_CMA_ES,20460627,2000,2007,116.6749590570933,,,,,completed
